subject,node_modularity,node_num_nodes,node_num_edges,edge_modularity,edge_num_nodes,edge_num_edges,triangle_modularity,triangle_num_nodes,triangle_num_edges
122317,0.196824925713445,118,1423,0.468617085638567,763,8324,0.382208154101772,1073,10356
122620,0.225887778400897,113,1264,0.367391629463548,565,6192,0.34461583004258,1099,11293
122822,0.20636290035485,258,3286,0.452454952037917,879,9372,0.377152153732769,1237,12176
123117,0.149654680585445,70,797,0.363204335171152,338,3646,0.301118329688172,463,4729
123420,0.201722767742366,126,1601,0.36079029597398,468,5223,0.247929475585855,582,6623
123521,0.230009588775822,124,1386,0.415423499047323,627,6730,0.314804850347139,887,9343
123723,0.210689109728742,135,1523,0.482182213515247,637,6693,0.381932705555048,816,8382
123824,0.126499912714385,95,1102,0.326243997368423,393,4566,0.317928656222042,742,7890
123925,0.245348454712579,116,1329,0.454541093732541,521,5655,0.304539148360054,736,7955
124220,0.151994347648739,143,1572,0.318721915250802,412,4518,0.0211275162405055,272,2955
125222,0.19931026161797,120,1338,0.463073058675828,656,6982,0.305844313572459,707,7544
125525,0.249681244026451,138,1581,0.388777315284574,519,5705,0.386972856975224,777,7903
126325,0.214520690637867,133,1595,0.436188202128341,690,7328,0.42280656769367,1005,10194
126426,0.235760007575429,193,2126,0.513849790186726,684,7194,0.446017587796603,870,8526
126628,0.18543839356107,130,1503,0.333524080264866,372,3988,0.317551671206595,699,7362
127327,0.175050951041352,96,1057,0.329307450607816,375,4180,0.310984158721903,602,6666
127630,0.237816137080331,118,1405,0.535116270050342,818,8442,0.668139020534197,1549,12720
127832,0.259758284133322,170,2047,0.425459977790393,667,7460,0.295894120269168,677,7417
127933,0.201622534238425,99,1174,0.559592712071358,803,8068,0.598377256198347,1379,12375
128026,0.161173030164345,114,1358,0.364493171998206,475,5282,0.334782306729982,969,10838
128127,0.246821562283856,154,1779,0.383219614046749,578,6214,0.334495625610316,868,8723
128632,0.148200757262283,110,1229,0.373118098993022,623,6850,0.323613492026075,958,9853
129028,0.299218633146645,220,2596,0.48748378222749,663,7230,0.330721469885678,805,8668
129331,0.188887696498337,151,1899,0.371499950614251,574,6386,0.45438893936796,1106,10361
129634,0.20092450115719,97,1095,0.405594018193893,513,5610,0.416044319881132,881,8754
130114,0.265124945494479,136,1724,0.615659111179492,838,8344,0.55402513403725,1140,11387
130316,0.201151480199923,135,1530,0.37255169176428,498,5488,0.356516355430709,641,6621
130417,0.231996504108135,158,1739,0.529169210252517,787,8224,0.332375242430589,741,8046
130518,0.147408094760531,168,1866,0.313554369551386,373,4208,0.187133573497208,560,6006
130619,0.242526065989333,141,1763,0.477530863939722,795,8419,0.27328135299331,958,9758
130720,0.174559754367833,126,1457,0.392224823271363,564,6203,0.482072575894998,950,8760
131217,0.159142541130267,118,1294,0.438864161100674,576,6349,0.369421857869201,938,8893
131419,0.324950787647872,204,2719,0.572077713721101,752,7516,0.582103950821421,1064,10489
131722,0.257691392496325,185,2153,0.378356256151477,570,6325,0.402862982512443,908,9012
131823,0.176667847530368,169,2087,0.42960268436419,747,8160,0.41054749781214,1132,10922
132017,0.213587720260005,238,2825,0.440139484301744,707,7634,0.465687330013581,1315,11750
133019,0.25250255800119,168,2050,0.391531207435862,578,6499,0.286572402528282,857,8561
133928,0.2031507477545,135,1495,0.389322414903144,624,6904,0.298703882912281,670,7470
134021,0.199349937782267,103,1217,0.361078535308909,536,6051,0.29374224036214,666,7395
134324,0.218098502415905,131,1645,0.412344602385437,528,5680,0.319567169120723,979,9909
134829,0.167221717985068,90,998,0.433464287404352,574,6069,0.485693026944919,809,7665
135124,0.214314769330394,142,1564,0.419569219780847,638,6882,0.334563931407196,826,9434
135225,0.21721929291595,199,2333,0.420887086031704,668,7354,0.263166557691797,886,9403
135528,0.156713163054478,116,1232,0.437395223091869,647,6963,0.44482363693712,1032,9720
135629,0.200482954545455,110,1320,0.387972763792816,586,6343,0.404961054997099,1219,11243
136227,0.232813979703724,203,2237,0.542195223925409,849,8609,0.371824084664741,813,8184
136631,0.230416693707962,142,1702,0.430066498647858,600,6388,0.417621658937431,770,7854
136833,0.247550259685266,198,2397,0.436786803735217,582,6276,0.456098418148594,1203,12081
137027,0.172343075251799,78,883,0.514712975540943,813,8668,0.434607036872312,899,8773
137229,0.238050371089103,195,2315,0.488208877097421,725,7777,0.53410311798358,1154,10061
137532,0.246212982608753,122,1346,0.471960008893268,624,6740,0.4507658788882,1024,10483
138130,0.248568485174236,147,1830,0.529807715286649,695,7588,0.347873152741772,711,7735
138332,0.228560254680384,130,1540,0.464352411465676,725,7650,0.437935356942159,1158,11399
138534,0.251459911375895,209,2465,0.432490386700504,592,6458,0.29116782698211,729,7947
138837,0.120626107285092,144,1717,0.367928153603313,681,7259,0.377621528391143,1153,10898
139233,0.25651845926406,131,1474,0.355518799679916,363,3999,0.308123766194503,659,7233
139435,0.223123153408898,127,1487,0.543228512709834,935,9523,0.565266750601162,1376,11647
139637,0.215499529895184,156,1833,0.611430583538231,848,8223,0.43608544133757,981,9615
